timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-08-15,77696.07357500,79145.87000000,77163.92000000,78302.88060000,11760.55000000,11980.00000000,11680.00000000,11852.40000000,56237.90505000,56237.90505000
2020-08-14,77823.05050500,78287.02500000,76860.21919500,77696.00751000,11779.77000000,11850.00000000,11634.03000000,11760.54000000,59818.85269700,59818.85269700
2020-08-13,76399.81221000,77910.19024000,74457.63334000,77824.57000000,11564.34000000,11792.96000000,11270.36000000,11780.00000000,70132.49150200,70132.49150200
2020-08-12,75261.84258500,76751.14588000,73662.47500000,76399.74614500,11392.09000000,11617.52000000,11150.00000000,11564.33000000,64909.61364400,64909.61364400
2020-08-11,78570.44385000,78848.57750000,73497.31250000,75261.77652000,11892.90000000,11935.00000000,11125.00000000,11392.08000000,90748.28463400,90748.28463400
2020-08-10,77175.08498500,79722.94777500,75644.42500000,78570.57598000,11681.69000000,12067.35000000,11450.00000000,11892.92000000,84952.33788700,84952.33788700
2020-08-09,77699.17863000,77937.60721500,76119.89480500,77175.01892000,11761.02000000,11797.11000000,11521.97000000,11681.68000000,41493.06734200,41493.06734200
2020-08-08,76598.13934000,78011.33575500,76054.02800000,77701.75516500,11594.36000000,11808.27000000,11512.00000000,11761.41000000,41858.16104000,41858.16104000
2020-08-07,77708.75805500,78683.01861000,74798.79300000,76597.28049500,11762.47000000,11909.94000000,11322.00000000,11594.23000000,65755.92602200,65755.92602200
2020-08-06,77592.74791500,78617.35000000,76387.65625000,77708.69199000,11744.91000000,11900.00000000,11562.50000000,11762.46000000,63529.08502000,63529.08502000
2020-08-05,73939.88193500,77830.71404500,73285.90450000,77592.74791500,11191.99000000,11780.93000000,11093.00000000,11744.91000000,74970.25685200,74970.25685200
2020-08-04,74122.81592000,75413.06537000,72671.50000000,73939.74980500,11219.68000000,11414.98000000,11000.00000000,11191.97000000,58629.11370900,58629.11370900
2020-08-03,73142.93984000,75796.37450000,72248.68400000,74123.67476500,11071.36000000,11473.00000000,10936.00000000,11219.81000000,56931.84147500,56931.84147500
2020-08-02,77964.42960500,80093.63849000,69490.47025000,73142.87377500,11801.17000000,12123.46000000,10518.50000000,11071.35000000,97553.07760400,97553.07760400
2020-08-01,74887.71649000,78359.69650000,74124.93000000,77964.42960500,11335.46000000,11861.00000000,11220.00000000,11801.17000000,85087.48512600,85087.48512600
2020-07-31,73330.76263500,75604.78600000,72407.24000000,74887.71649000,11099.79000000,11444.00000000,10960.00000000,11335.46000000,70063.66097400,70063.66097400
2020-07-30,73335.58538000,73794.60500000,71555.00150000,73329.57346500,11100.52000000,11170.00000000,10831.00000000,11099.61000000,60794.82645600,60794.82645600
2020-07-29,72052.27275500,74936.34033000,71429.47800000,73335.65144500,10906.27000000,11342.82000000,10812.00000000,11100.53000000,76838.09423300,76838.09423300
2020-07-28,72869.43074000,74271.79249500,69797.67250000,72052.27275500,11029.96000000,11242.23000000,10565.00000000,10906.27000000,97267.73418700,97267.73418700
2020-07-27,65612.71901000,75280.14259000,65518.04786500,72869.43074000,9931.54000000,11394.86000000,9917.21000000,11029.96000000,150188.93314400,150188.93314400
2020-07-26,64085.82473000,66798.32150000,63752.72500000,65612.71901000,9700.42000000,10111.00000000,9650.00000000,9931.54000000,65279.26931900,65279.26931900
2020-07-25,63013.45765000,64300.40385000,62847.63450000,64085.82473000,9538.10000000,9732.90000000,9513.00000000,9700.42000000,40679.54541600,40679.54541600
2020-07-24,63444.00325500,63666.84050000,62520.21636000,63011.47570000,9603.27000000,9637.00000000,9463.44000000,9537.80000000,43931.13620500,43931.13620500
2020-07-23,62881.72404000,63845.21600000,62367.54014500,63444.00325500,9518.16000000,9664.00000000,9440.33000000,9603.27000000,51856.23350000,51856.23350000
2020-07-22,62035.03500000,63052.43600000,61182.79650000,62881.72404000,9390.00000000,9544.00000000,9261.00000000,9518.16000000,48815.00410700,48815.00410700
2020-07-21,60520.69307000,62350.36324500,60467.97320000,62035.03500000,9160.78000000,9437.73000000,9152.80000000,9390.00000000,60413.58248600,60413.58248600
2020-07-20,60839.19243500,60921.97188000,60323.95150000,60520.69307000,9208.99000000,9221.52000000,9131.00000000,9160.78000000,35458.76408200,35458.76408200
2020-07-19,60583.58695000,60992.99175500,60128.06877500,60839.19243500,9170.30000000,9232.27000000,9101.35000000,9208.99000000,26052.01941700,26052.01941700
2020-07-18,60477.94901500,60907.30545000,60258.54715000,60583.45482000,9154.31000000,9219.30000000,9121.10000000,9170.28000000,22554.54145700,22554.54145700
2020-07-17,60341.92118000,60692.79239500,60051.82976500,60478.01508000,9133.72000000,9186.83000000,9089.81000000,9154.32000000,28054.35874100,28054.35874100
2020-07-16,60763.94440000,60952.55997500,59770.65712500,60341.92118000,9197.60000000,9226.15000000,9047.25000000,9133.72000000,43375.57119100,43375.57119100
2020-07-15,61148.77302500,61285.13118500,60519.30570500,60763.94440000,9255.85000000,9276.49000000,9160.57000000,9197.60000000,39053.57966500,39053.57966500
2020-07-14,61061.30296500,61305.28101000,60205.03450000,61148.77302500,9242.61000000,9279.54000000,9113.00000000,9255.85000000,45772.55250900,45772.55250900
2020-07-13,61462.31751500,61729.94683000,60785.67978500,61061.36903000,9303.31000000,9343.82000000,9200.89000000,9242.62000000,42740.06911500,42740.06911500
2020-07-12,61004.55313000,61737.74250000,60499.02375000,61458.61787500,9234.02000000,9345.00000000,9157.50000000,9302.75000000,30872.70228600,30872.70228600
2020-07-11,61363.41821000,61435.69332000,60636.10862500,61004.61919500,9288.34000000,9299.28000000,9178.25000000,9234.03000000,22561.36600000,22561.36600000
2020-07-10,60993.98273000,61555.93162000,60284.31250000,61363.41821000,9232.42000000,9317.48000000,9125.00000000,9288.34000000,38295.49400600,38295.49400600
2020-07-09,62339.33039000,62370.57913500,60515.54000000,60994.04879500,9436.06000000,9440.79000000,9160.00000000,9232.43000000,48044.45064500,48044.45064500
2020-07-08,61159.01310000,62563.55500000,60984.60150000,62339.33039000,9257.40000000,9470.00000000,9231.00000000,9436.06000000,56140.51778100,56140.51778100
2020-07-07,61721.02805500,61965.13823000,60799.61950000,61158.94703500,9342.47000000,9379.42000000,9203.00000000,9257.39000000,34587.33667800,34587.33667800
2020-07-06,59917.05716500,61935.93750000,59827.93548000,61732.45730000,9069.41000000,9375.00000000,9055.92000000,9344.20000000,54463.13227700,54463.13227700
2020-07-05,60350.37750000,60418.02806000,58751.80269500,59917.05716500,9135.00000000,9145.24000000,8893.03000000,9069.41000000,34073.65362700,34073.65362700
2020-07-04,59840.28963500,60713.73500000,59723.02426000,60353.41649000,9057.79000000,9190.00000000,9040.04000000,9135.46000000,26441.96848400,26441.96848400
2020-07-03,60030.22651000,60284.31250000,59706.04555500,59843.39469000,9086.54000000,9125.00000000,9037.47000000,9058.26000000,28943.42017700,28943.42017700
2020-07-02,60991.14193500,61189.13874000,59062.11000000,60030.22651000,9231.99000000,9261.96000000,8940.00000000,9086.54000000,45725.16807600,45725.16807600
2020-07-01,60370.72552000,61387.59800000,59987.68065000,60991.20800000,9138.08000000,9292.00000000,9080.10000000,9232.00000000,38488.52869900,38488.52869900
2020-06-30,60733.09204500,60812.83250000,59887.19578500,60373.83057500,9192.93000000,9205.00000000,9064.89000000,9138.55000000,31463.16280100,31463.16280100
2020-06-29,60225.91104000,61030.84700000,59621.48235500,60730.64764000,9116.16000000,9238.00000000,9024.67000000,9192.56000000,42120.29326100,42120.29326100
2020-06-28,59537.77800000,60720.34150000,59115.35839000,60227.16627500,9012.00000000,9191.00000000,8948.06000000,9116.35000000,30688.17642100,30688.17642100
2020-06-27,60530.14036500,60754.95956000,58355.21450000,59537.77800000,9162.21000000,9196.24000000,8833.00000000,9012.00000000,46290.93011300,46290.93011300
2020-06-26,61106.75568500,61427.23700000,59758.76542500,60530.14036500,9249.49000000,9298.00000000,9045.45000000,9162.21000000,50292.29827700,50292.29827700
2020-06-25,61429.41714500,61704.71000000,59522.51698500,61106.75568500,9298.33000000,9340.00000000,9009.69000000,9249.49000000,55831.61915600,55831.61915600
2020-06-24,63583.13614500,63884.85500000,60832.65200000,61417.26118500,9624.33000000,9670.00000000,9208.00000000,9296.49000000,61571.56146400,61571.56146400
2020-06-23,63988.51098500,64215.18000000,63270.64869500,63586.83578500,9685.69000000,9720.00000000,9577.03000000,9624.89000000,41031.02938000,41031.02938000
2020-06-22,61405.36948500,64611.57000000,61289.09508500,63988.51098500,9294.69000000,9780.00000000,9277.09000000,9685.69000000,57895.46834300,57895.46834300
2020-06-21,61829.90317500,62246.44300000,61318.49401000,61405.36948500,9358.95000000,9422.00000000,9281.54000000,9294.69000000,24316.92623400,24316.92623400
2020-06-20,61508.03449500,62068.06750000,60587.88117500,61829.90317500,9310.23000000,9395.00000000,9170.95000000,9358.95000000,30329.06538400,30329.06538400
2020-06-19,62010.72308000,62354.12895000,60884.11663500,61508.03449500,9386.32000000,9438.30000000,9215.79000000,9310.23000000,45330.98367300,45330.98367300
2020-06-18,62531.38134500,62689.07850000,61308.32000000,62010.72308000,9465.13000000,9489.00000000,9280.00000000,9386.32000000,37381.95376500,37381.95376500
2020-06-17,62939.92730500,63191.17250000,61021.66396500,62531.44741000,9526.97000000,9565.00000000,9236.61000000,9465.14000000,48046.41115200,48046.41115200
2020-06-16,62273.19932500,63349.72850000,61923.31908500,62930.81033500,9426.05000000,9589.00000000,9373.09000000,9525.59000000,52052.44692700,52052.44692700
2020-06-15,61718.58365000,62728.71750000,58866.88792500,62273.00113000,9342.10000000,9495.00000000,8910.45000000,9426.02000000,86107.92470700,86107.92470700
2020-06-14,62585.62071000,62636.16043500,61077.09250000,61718.58365000,9473.34000000,9480.99000000,9245.00000000,9342.10000000,30055.50660800,30055.50660800
2020-06-13,62530.25824000,62726.93374500,61777.38150000,62585.62071000,9464.96000000,9494.73000000,9351.00000000,9473.34000000,27759.78485100,27759.78485100
2020-06-12,61300.92072000,63139.11328000,60994.57731500,62531.38134500,9278.88000000,9557.12000000,9232.51000000,9465.13000000,50119.06693200,50119.06693200
2020-06-11,65306.70593000,65827.16600000,60205.03450000,61310.96260000,9885.22000000,9964.00000000,9113.00000000,9280.40000000,94418.98473000,94418.98473000
2020-06-10,64561.62486000,66016.90468000,64110.66517000,65305.25250000,9772.44000000,9992.72000000,9704.18000000,9885.00000000,47130.76298200,47130.76298200
2020-06-09,64624.78300000,65252.40050000,63224.20500000,64561.55879500,9782.00000000,9877.00000000,9570.00000000,9772.43000000,46024.00128900,46024.00128900
2020-06-08,64393.48943500,64743.70000000,63640.41450000,64624.84906500,9746.99000000,9800.00000000,9633.00000000,9782.01000000,40664.66412500,40664.66412500
2020-06-07,63864.04452500,64756.91300000,61919.15699000,64393.48943500,9666.85000000,9802.00000000,9372.46000000,9746.99000000,57952.84838500,57952.84838500
2020-06-06,63562.25960500,64314.27750000,62966.88182500,63860.41095000,9621.17000000,9735.00000000,9531.05000000,9666.30000000,32752.95089300,32752.95089300
2020-06-05,64665.34691000,65105.40587500,63296.87650000,63562.19354000,9788.14000000,9854.75000000,9581.00000000,9621.16000000,47788.05005000,47788.05005000
2020-06-04,63860.54308000,65282.98859500,62431.42500000,64671.42489000,9666.32000000,9881.63000000,9450.00000000,9789.06000000,57456.10096900,57456.10096900
2020-06-03,62880.79913000,64016.98500000,61871.25986500,63860.01456000,9518.02000000,9690.00000000,9365.21000000,9666.24000000,46252.64493900,46252.64493900
2020-06-02,67404.20361500,67577.82243500,61215.82900000,62880.93126000,10202.71000000,10228.99000000,9266.00000000,9518.04000000,108970.77315100,108970.77315100
2020-06-01,62419.99575500,68575.47000000,62244.26285500,67391.38700500,9448.27000000,10380.00000000,9421.67000000,10200.77000000,76649.12696000,76649.12696000
2020-05-31,64067.98718000,64083.05000000,61978.28516500,62419.99575500,9697.72000000,9700.00000000,9381.41000000,9448.27000000,48333.78640300,48333.78640300
2020-05-30,62276.83290000,64347.31000000,61646.77099500,64067.98718000,9426.60000000,9740.00000000,9331.23000000,9697.72000000,55665.27254000,55665.27254000
2020-05-29,63262.98515500,63457.15019000,61638.64500000,62279.93795500,9575.87000000,9605.26000000,9330.00000000,9427.07000000,57374.36296100,57374.36296100
2020-05-28,60806.68845500,63590.66755500,60185.21500000,63263.11728500,9204.07000000,9625.47000000,9110.00000000,9575.89000000,74110.78766200,74110.78766200
2020-05-27,58408.06650000,60944.96250000,58214.69424500,60806.68845500,8841.00000000,9225.00000000,8811.73000000,9204.07000000,68910.35551400,68910.35551400
2020-05-26,58800.16227500,59575.23685500,57476.55000000,58409.25567000,8900.35000000,9017.67000000,8700.00000000,8841.18000000,58299.77013800,58299.77013800
2020-05-25,57596.39191000,59324.12379000,57098.12968000,58800.16227500,8718.14000000,8979.66000000,8642.72000000,8900.35000000,62833.91094900,62833.91094900
2020-05-24,60641.12956500,61427.23700000,57476.55000000,57610.92621000,9179.01000000,9298.00000000,8700.00000000,8720.34000000,70379.86645000,70379.86645000
2020-05-23,60581.60500000,61492.31102500,59920.95500000,60642.05447500,9170.00000000,9307.85000000,9070.00000000,9179.15000000,43526.29696600,43526.29696600
2020-05-22,59904.50481500,61248.86150000,59019.29988000,60581.60500000,9067.51000000,9271.00000000,8933.52000000,9170.00000000,58943.13102400,58943.13102400
2020-05-21,62837.26229500,63280.16205500,58236.29750000,59912.03622500,9511.43000000,9578.47000000,8815.00000000,9068.65000000,108928.78096900,108928.78096900
